dataname,d,s,baseline,etrue,espur,emiss,efals,shd,tpr,time
notears,500,500,DAS,32,13,456,12,481,0.56,778.7131612300873
notears,500,500,DAS,31,16,450,19,485,0.47,612.3168668746948
notears,500,500,DAS,37,14,453,10,477,0.61,426.7143816947937
notears,500,500,DAS,36,18,459,5,482,0.61,430.0752966403961
notears,500,500,DAS,34,9,456,10,475,0.64,459.0697567462921
notears,500,500,DAS,34,14,458,8,480,0.61,477.1323504447937
notears,500,500,DAS,26,15,471,3,489,0.59,430.924033164978
notears,20,20,SCORE,17,1,3,0,4,0.94,31.38992214202881
notears,40,40,SCORE,34,0,6,0,6,1.0,102.4384503364563
notears,60,60,SCORE,54,0,6,0,6,1.0,213.39300918579102
notears,80,80,SCORE,67,2,11,2,15,0.94,375.8987236022949
notears,100,100,SCORE,85,5,12,3,20,0.91,558.8971061706543
notears,200,200,SCORE,161,28,34,5,67,0.83,2228.826838493347
notears,300,300,SCORE,224,84,54,22,160,0.68,5104.223189592361
notears,400,400,SCORE,285,132,75,40,247,0.62,9404.560428380966
notears,500,500,SCORE,344,224,96,60,380,0.55,14211.592562913895
notears,300,300,MLPNotears,254,13,42,4,59,0.94,4763.958026647568
notears,300,300,MLPNotears,250,12,46,4,62,0.94,4788.04646897316
notears,400,400,MLPNotears,330,18,64,6,88,0.93,4237.109586954117
notears,400,400,MLPNotears,349,27,45,6,78,0.91,7510.044972658157
notears,500,500,MLPNotears,343,18,141,16,175,0.91,10794.6954116821289
notears,500,500,MLPNotears,431,26,54,15,95,0.91,10581.886828184128
notears,500,500,MLPNotears,440,29,45,15,89,0.91,10171.41454577446
notears,500,500,MLPNotears,438,31,45,17,93,0.9,11179.885587215424
notears,400,400,MLPNotears,325,24,63,12,99,0.9,2543.0084388256073
notears,400,400,MLPNotears,279,19,113,8,140,0.91,1531.928970336914
notears,400,400,MLPNotears,313,20,74,13,107,0.9,11385.63245010376
notears,500,500,MLPNotears,434,31,49,17,97,0.9,9359.388850927353
notears,500,500,MLPNotears,423,25,61,16,102,0.91,8253.949223279953
notears,500,500,MLPNotears,446,31,41,13,85,0.91,9927.356246948242
notears,400,400,MLPNotears,344,21,47,9,77,0.92,6212.965979099274
notears,400,400,MLPNotears,339,24,44,17,85,0.89,9306.562086343765
notears,400,400,MLPNotears,347,22,43,10,75,0.92,8301.988911628723
notears,400,400,MLPNotears,345,29,40,15,84,0.89,7568.097279310226
notears,400,400,MLPNotears,342,26,42,16,84,0.89,6709.273564338684
