dataname,d,b,num_env,gamma2,TMB,mode,etrue,espur,emiss,efals,shd,tpr,time
notears,40,4,10,0.5,1,aS,29,1,5,6,12,0.81,9.851806879043579
notears,40,4,10,0.5,1,aS,28,1,6,6,13,0.8,9.657393455505371
notears,40,4,10,0.5,1,aS,31,1,6,3,10,0.89,9.146469593048096
notears,40,4,10,0.5,1,aS,30,1,5,5,11,0.83,9.672446012496948
notears,40,4,10,0.5,1,aS,26,1,9,5,15,0.81,9.536081314086914
notears,40,5,10,0.5,1,aS,33,1,6,1,8,0.94,9.643143892288208
notears,40,5,10,0.5,1,aS,22,2,10,8,20,0.69,9.154115676879883
notears,40,5,10,0.5,1,aS,28,1,6,6,13,0.8,8.877200841903687
notears,40,5,10,0.5,1,aS,26,1,8,6,15,0.79,8.988863229751587
notears,40,5,10,0.5,1,aS,29,2,8,3,13,0.85,9.157652616500854
notears,40,5,10,0.5,1,aS,30,1,7,3,11,0.88,9.228532314300537
notears,40,5,10,0.5,1,aS,27,1,8,5,14,0.82,9.255281686782837
notears,40,5,10,0.5,1,aS,29,1,7,4,12,0.85,9.405343294143677
notears,40,5,10,0.5,1,aS,24,2,11,5,18,0.77,10.223508596420288
notears,40,5,10,0.5,1,aS,26,3,9,5,17,0.76,9.908484935760498
notears,60,3,10,0.5,1,aS,31,0,18,11,29,0.74,15.550759077072144
notears,60,3,10,0.5,1,aS,34,1,14,12,27,0.72,14.949996948242188
notears,60,3,10,0.5,1,aS,28,0,21,11,32,0.72,15.259398937225342
notears,60,3,10,0.5,1,aS,29,0,18,13,31,0.69,15.146029472351074
notears,60,3,10,0.5,1,aS,29,1,18,13,32,0.67,14.690523386001587
notears,60,3,10,0.5,1,aS,34,0,19,7,26,0.83,15.970004796981812
notears,60,3,10,0.5,1,aS,28,1,20,12,33,0.68,14.729250192642212
notears,60,3,10,0.5,1,aS,30,0,17,13,30,0.7,14.968411207199097
notears,60,3,10,0.5,1,aS,29,1,17,14,32,0.66,14.627948522567749
notears,60,3,10,0.5,1,aS,41,0,12,7,19,0.85,14.648109912872314
notears,60,4,10,0.5,1,aS,25,1,20,15,36,0.61,16.087990522384644
notears,60,4,10,0.5,1,aS,36,0,13,11,24,0.77,15.438263893127441
notears,60,4,10,0.5,1,aS,28,1,19,13,33,0.67,15.258796215057373
notears,60,4,10,0.5,1,aS,30,1,18,12,31,0.7,15.70354151725769
notears,60,4,10,0.5,1,aS,31,1,19,10,30,0.74,16.182152271270752
notears,60,4,10,0.5,1,aS,24,1,23,13,37,0.63,15.246107578277588
notears,60,4,10,0.5,1,aS,25,0,21,14,35,0.64,16.057592391967773
notears,60,4,10,0.5,1,aS,24,0,23,13,36,0.65,14.905872821807861
notears,60,4,10,0.5,1,aS,25,1,22,13,36,0.64,15.131091356277466
notears,60,4,10,0.5,1,aS,24,1,22,14,37,0.62,14.655003547668457
notears,60,5,10,0.5,1,aS,26,0,21,13,34,0.67,16.922380447387695
notears,60,5,10,0.5,1,aS,26,1,20,14,35,0.63,16.01339316368103
notears,60,5,10,0.5,1,aS,29,2,20,11,33,0.69,15.60131049156189
notears,60,5,10,0.5,1,aS,28,1,20,12,33,0.68,15.280311346054077
notears,60,5,10,0.5,1,aS,28,1,18,14,33,0.65,15.710926532745361
notears,60,5,10,0.5,1,aS,24,2,23,13,38,0.62,16.00963306427002
notears,60,5,10,0.5,1,aS,25,0,22,13,35,0.66,17.419695377349854
notears,60,5,10,0.5,1,aS,24,0,23,13,36,0.65,16.11089587211609
notears,60,5,10,0.5,1,aS,28,1,21,11,33,0.7,15.95066499710083
notears,60,5,10,0.5,1,aS,30,1,19,11,31,0.71,14.913785457611084
notears,80,3,10,0.5,1,aS,44,1,25,11,37,0.79,19.42202091217041
notears,80,3,10,0.5,1,aS,39,1,28,13,42,0.74,19.69929313659668
notears,80,3,10,0.5,1,aS,48,2,22,10,34,0.8,19.10884404182434
notears,80,3,10,0.5,1,aS,47,0,24,9,33,0.84,19.033446311950684
notears,80,3,10,0.5,1,aS,48,1,24,8,33,0.84,19.19272518157959
notears,80,3,10,0.5,1,aS,45,1,25,10,36,0.8,19.211637496948242
notears,80,3,10,0.5,1,aS,40,3,28,12,43,0.73,19.090604305267334
notears,80,3,10,0.5,1,aS,42,2,27,11,40,0.76,18.996511220932007
notears,80,3,10,0.5,1,aS,41,1,28,11,40,0.77,19.589855670928955
notears,80,3,10,0.5,1,aS,53,1,22,5,28,0.9,18.688127279281616
notears,80,4,10,0.5,1,aS,35,2,31,14,47,0.69,20.04248023033142
notears,80,4,10,0.5,1,aS,36,2,29,15,46,0.68,20.26374316215515
notears,80,4,10,0.5,1,aS,44,1,24,12,37,0.77,20.09283208847046
notears,80,4,10,0.5,1,aS,38,1,28,14,43,0.72,19.249112367630005
notears,80,4,10,0.5,1,aS,35,2,30,15,47,0.67,20.704103708267212
notears,80,4,10,0.5,1,aS,36,3,30,14,47,0.68,20.52113103866577
notears,80,4,10,0.5,1,aS,41,1,27,12,40,0.76,19.62112259864807
notears,80,4,10,0.5,1,aS,39,3,26,15,44,0.68,20.104457139968872
notears,80,4,10,0.5,1,aS,39,1,27,14,42,0.72,21.10637855529785
notears,80,4,10,0.5,1,aS,37,3,29,14,46,0.69,20.118749618530273
notears,80,5,10,0.5,1,aS,35,2,31,14,47,0.69,20.875479698181152
notears,80,5,10,0.5,1,aS,35,1,31,14,46,0.7,20.395556926727295
notears,80,5,10,0.5,1,aS,37,3,29,14,46,0.69,19.71401619911194
notears,80,5,10,0.5,1,aS,42,2,27,11,40,0.76,20.28359031677246
notears,80,5,10,0.5,1,aS,35,1,30,15,46,0.69,20.54516863822937
notears,80,5,10,0.5,1,aS,31,0,33,16,49,0.66,19.73709487915039
notears,80,5,10,0.5,1,aS,37,1,31,12,44,0.74,19.641758680343628
notears,80,5,10,0.5,1,aS,35,0,29,16,45,0.69,20.12890076637268
notears,80,5,10,0.5,1,aS,30,3,33,17,53,0.6,18.796126127243042
notears,80,5,10,0.5,1,aS,36,0,30,14,44,0.72,18.675949335098267
notears,100,3,10,0.5,1,aS,66,2,23,11,36,0.84,28.69265103340149
notears,100,3,10,0.5,1,aS,61,2,25,14,41,0.79,26.492507934570312
notears,100,3,10,0.5,1,aS,73,2,19,8,29,0.88,27.826851844787598
notears,100,3,10,0.5,1,aS,76,1,16,8,25,0.89,27.391277313232422
notears,100,3,10,0.5,1,aS,61,2,25,14,41,0.79,27.144916772842407
notears,100,3,10,0.5,1,aS,78,2,15,7,24,0.9,27.353517293930054
notears,100,3,10,0.5,1,aS,69,2,23,8,33,0.87,26.561787128448486
notears,100,3,10,0.5,1,aS,69,2,20,11,33,0.84,27.76851749420166
notears,100,3,10,0.5,1,aS,73,1,19,8,28,0.89,27.196244716644287
notears,100,3,10,0.5,1,aS,68,2,21,11,34,0.84,27.95690107345581
notears,100,4,10,0.5,1,aS,57,2,26,17,45,0.75,28.809284687042236
notears,100,4,10,0.5,1,aS,56,1,27,17,45,0.76,27.527167320251465
notears,100,4,10,0.5,1,aS,54,1,27,19,47,0.73,27.861154079437256
notears,100,4,10,0.5,1,aS,62,1,25,13,39,0.82,27.447996139526367
notears,100,4,10,0.5,1,aS,72,1,17,11,29,0.86,27.392155170440674
notears,100,4,10,0.5,1,aS,62,1,27,11,39,0.84,26.88151216506958
notears,100,4,10,0.5,1,aS,63,2,24,13,39,0.81,28.10400366783142
notears,100,4,10,0.5,1,aS,58,2,25,17,44,0.75,26.18737292289734
notears,100,4,10,0.5,1,aS,58,3,26,16,45,0.75,27.53830909729004
notears,100,4,10,0.5,1,aS,56,1,28,16,45,0.77,27.78856921195984
notears,100,5,10,0.5,1,aS,66,1,20,14,35,0.81,28.911428451538086
notears,100,5,10,0.5,1,aS,57,1,26,17,44,0.76,27.71572732925415
notears,100,5,10,0.5,1,aS,58,1,25,17,43,0.76,27.629149675369263
notears,100,5,10,0.5,1,aS,58,1,25,17,43,0.76,28.00345492362976
notears,100,5,10,0.5,1,aS,52,1,29,19,49,0.72,27.95670485496521
notears,100,5,10,0.5,1,aS,59,1,25,16,42,0.78,27.07656693458557
notears,100,5,10,0.5,1,aS,65,1,21,14,36,0.81,26.833349466323853
notears,100,5,10,0.5,1,aS,59,1,26,15,42,0.79,27.443819761276245
notears,100,5,10,0.5,1,aS,55,1,28,17,46,0.75,28.272043466567993
notears,100,5,10,0.5,1,aS,66,1,21,13,35,0.82,28.412299633026123
notears,20,3,10,0.5,1,n,16,0,2,2,4,0.89,5.041031837463379
notears,20,3,10,0.5,1,n,17,0,2,1,3,0.94,4.6286890506744385
notears,20,3,10,0.5,1,n,15,0,4,1,5,0.94,5.146544456481934
notears,20,3,10,0.5,1,n,14,0,5,1,6,0.93,5.239108324050903
notears,20,3,10,0.5,1,n,17,0,2,1,3,0.94,4.843078374862671
notears,20,3,10,0.5,1,n,15,0,3,2,5,0.88,4.823354959487915
notears,20,3,10,0.5,1,n,14,0,3,3,6,0.82,4.913005113601685
notears,20,3,10,0.5,1,n,14,0,4,2,6,0.88,4.9889912605285645
notears,20,3,10,0.5,1,n,17,0,2,1,3,0.94,4.9213666915893555
notears,20,3,10,0.5,1,n,17,0,2,1,3,0.94,4.957715034484863
notears,20,4,10,0.5,1,n,11,0,4,5,9,0.69,5.946196556091309
notears,20,4,10,0.5,1,n,12,0,3,5,8,0.71,6.369608402252197
notears,20,4,10,0.5,1,n,11,0,4,5,9,0.69,6.283786058425903
notears,20,4,10,0.5,1,n,13,1,3,4,8,0.72,6.103167295455933
notears,20,4,10,0.5,1,n,12,0,4,4,8,0.75,6.090351343154907
notears,20,4,10,0.5,1,n,11,0,4,5,9,0.69,6.080091953277588
notears,20,4,10,0.5,1,n,12,0,4,4,8,0.75,6.26298975944519
notears,20,4,10,0.5,1,n,11,1,3,6,10,0.61,6.324079751968384
notears,20,4,10,0.5,1,n,13,0,3,4,7,0.76,6.198150157928467
notears,20,4,10,0.5,1,n,11,0,4,5,9,0.69,6.184825658798218
notears,20,5,10,0.5,1,n,8,1,5,7,13,0.5,5.111169338226318
notears,20,5,10,0.5,1,n,10,0,4,6,10,0.62,5.15219521522522
notears,20,5,10,0.5,1,n,10,1,4,6,11,0.59,5.616222620010376
notears,20,5,10,0.5,1,n,9,1,4,7,12,0.53,4.876733303070068
notears,20,5,10,0.5,1,n,10,0,4,6,10,0.62,5.467425584793091
notears,20,5,10,0.5,1,n,9,1,5,6,12,0.56,5.1201171875
notears,20,5,10,0.5,1,n,9,1,4,7,12,0.53,5.16539192199707
notears,20,5,10,0.5,1,n,10,1,3,7,11,0.56,5.364814758300781
notears,20,5,10,0.5,1,n,9,1,4,7,12,0.53,6.302437782287598
notears,20,5,10,0.5,1,n,9,1,4,7,12,0.53,6.4565489292144775
notears,40,3,10,0.5,1,n,21,4,9,10,23,0.6,10.900159358978271
notears,40,3,10,0.5,1,n,17,4,11,12,27,0.52,10.84063458442688
notears,40,3,10,0.5,1,n,25,4,6,9,19,0.66,10.504869222640991
notears,40,3,10,0.5,1,n,21,4,11,8,23,0.64,11.102174997329712
notears,40,3,10,0.5,1,n,20,4,9,11,24,0.57,11.075608491897583
notears,40,3,10,0.5,1,n,18,4,12,10,26,0.56,10.167901754379272
notears,40,3,10,0.5,1,n,18,5,11,11,27,0.53,11.01297664642334
notears,40,3,10,0.5,1,n,19,4,9,12,25,0.54,10.729957103729248
notears,40,3,10,0.5,1,n,24,5,9,7,21,0.67,11.066941261291504
notears,40,3,10,0.5,1,n,21,4,8,11,23,0.58,10.989497900009155
notears,40,4,10,0.5,1,n,21,0,9,10,19,0.68,10.54283094406128
notears,40,4,10,0.5,1,n,24,2,7,9,18,0.69,10.912996053695679
notears,40,4,10,0.5,1,n,19,1,8,13,22,0.58,10.918563842773438
notears,40,4,10,0.5,1,n,21,1,10,9,20,0.68,10.883101224899292
notears,40,4,10,0.5,1,n,19,1,7,14,22,0.56,10.31826400756836
notears,40,4,10,0.5,1,n,22,2,8,10,20,0.65,10.697595119476318
notears,40,4,10,0.5,1,n,24,1,7,9,17,0.71,10.731160163879395
notears,40,4,10,0.5,1,n,23,1,7,10,18,0.68,11.224507331848145
notears,40,4,10,0.5,1,n,18,1,12,10,23,0.62,10.415360450744629
notears,40,4,10,0.5,1,n,19,1,10,11,22,0.61,10.807039499282837
notears,40,5,10,0.5,1,n,21,1,6,13,20,0.6,10.737613201141357
notears,40,5,10,0.5,1,n,21,3,9,10,22,0.62,10.59337854385376
notears,40,5,10,0.5,1,n,20,2,7,13,22,0.57,10.68598484992981
notears,40,5,10,0.5,1,n,21,0,6,13,19,0.62,10.914162397384644
notears,40,5,10,0.5,1,n,20,1,7,13,21,0.59,10.008654594421387
notears,40,5,10,0.5,1,n,20,1,7,13,21,0.59,11.647258996963501
notears,40,5,10,0.5,1,n,22,1,7,11,19,0.65,10.411739587783813
notears,40,5,10,0.5,1,n,22,1,7,11,19,0.65,11.007086753845215
notears,40,5,10,0.5,1,n,19,1,9,12,22,0.59,11.011310577392578
notears,40,5,10,0.5,1,n,17,3,7,16,26,0.47,11.272971153259277
notears,60,3,10,0.5,1,n,19,1,19,22,42,0.45,16.371217250823975
notears,60,3,10,0.5,1,n,33,1,12,15,28,0.67,17.53237009048462
notears,60,3,10,0.5,1,n,30,0,12,18,30,0.62,15.798394680023193
notears,60,3,10,0.5,1,n,24,0,15,21,36,0.53,16.463088989257812
notears,60,3,10,0.5,1,n,25,1,15,20,36,0.54,16.3876895904541
notears,60,3,10,0.5,1,n,28,1,12,20,33,0.57,15.728778839111328
notears,60,3,10,0.5,1,n,28,0,12,20,32,0.58,16.847163200378418
notears,60,3,10,0.5,1,n,20,0,18,22,40,0.48,16.060483694076538
notears,60,3,10,0.5,1,n,27,0,13,20,33,0.57,17.74818229675293
notears,60,3,10,0.5,1,n,23,0,14,23,37,0.5,17.335812091827393
notears,60,4,10,0.5,1,n,25,1,16,19,36,0.56,17.938875913619995
notears,60,4,10,0.5,1,n,22,2,17,21,40,0.49,17.552813053131104
notears,60,4,10,0.5,1,n,19,1,17,24,42,0.43,16.439597606658936
notears,60,4,10,0.5,1,n,26,1,16,18,35,0.58,16.942402839660645
notears,60,4,10,0.5,1,n,26,2,13,21,36,0.53,16.34483504295349
notears,60,4,10,0.5,1,n,23,2,14,23,39,0.48,17.14011287689209
notears,60,4,10,0.5,1,n,25,1,16,19,36,0.56,16.333134412765503
notears,60,4,10,0.5,1,n,24,1,14,22,37,0.51,16.333033323287964
notears,60,4,10,0.5,1,n,20,1,16,24,41,0.44,15.750251770019531
notears,60,4,10,0.5,1,n,26,2,15,19,36,0.55,15.89062786102295
notears,60,5,10,0.5,1,n,20,1,19,21,41,0.48,16.544153213500977
notears,60,5,10,0.5,1,n,21,0,19,20,39,0.51,16.059073448181152
notears,60,5,10,0.5,1,n,20,1,19,21,41,0.48,15.416468620300293
notears,60,5,10,0.5,1,n,22,1,18,20,39,0.51,16.215667247772217
notears,60,5,10,0.5,1,n,18,1,21,21,43,0.45,15.926074981689453
notears,60,5,10,0.5,1,n,22,1,19,19,39,0.52,15.742576360702515
notears,60,5,10,0.5,1,n,22,1,19,19,39,0.52,16.051196336746216
notears,60,5,10,0.5,1,n,23,0,20,17,37,0.57,16.221541166305542
notears,60,5,10,0.5,1,n,22,2,19,19,40,0.51,16.557116985321045
notears,60,5,10,0.5,1,n,24,0,14,22,36,0.52,16.238950967788696
notears,80,3,10,0.5,1,n,30,4,26,24,54,0.52,22.15246033668518
notears,80,3,10,0.5,1,n,31,2,23,26,51,0.53,22.24615502357483
notears,80,3,10,0.5,1,n,32,2,22,26,50,0.53,22.60506272315979
notears,80,3,10,0.5,1,n,35,3,22,23,48,0.57,21.832738161087036
notears,80,3,10,0.5,1,n,37,4,20,23,47,0.58,22.326616048812866
notears,80,3,10,0.5,1,n,32,4,24,24,52,0.53,21.73880434036255
notears,80,3,10,0.5,1,n,31,4,23,26,53,0.51,20.6984703540802
notears,80,3,10,0.5,1,n,36,2,21,23,46,0.59,22.104182243347168
notears,80,3,10,0.5,1,n,36,3,21,23,47,0.58,22.559051513671875
notears,80,3,10,0.5,1,n,33,3,23,24,50,0.55,22.077449798583984
notears,80,4,10,0.5,1,n,31,2,25,24,51,0.54,23.64210557937622
notears,80,4,10,0.5,1,n,31,2,23,26,51,0.53,23.553929805755615
notears,80,4,10,0.5,1,n,33,2,23,24,49,0.56,23.674590349197388
notears,80,4,10,0.5,1,n,32,1,26,22,49,0.58,24.658034801483154
notears,80,4,10,0.5,1,n,37,1,22,21,44,0.63,25.39150309562683
notears,80,4,10,0.5,1,n,30,1,23,27,51,0.52,25.006808280944824
notears,80,4,10,0.5,1,n,33,2,22,25,49,0.55,24.919462203979492
notears,80,4,10,0.5,1,n,30,2,23,27,52,0.51,24.32951068878174
notears,80,4,10,0.5,1,n,34,1,24,22,47,0.6,23.700169563293457
notears,80,4,10,0.5,1,n,29,2,25,26,53,0.51,24.427932024002075
notears,80,5,10,0.5,1,n,25,3,24,31,58,0.42,24.305068254470825
notears,80,5,10,0.5,1,n,34,2,20,26,48,0.55,25.03678870201111
notears,80,5,10,0.5,1,n,30,2,23,27,52,0.51,23.98726725578308
notears,80,5,10,0.5,1,n,26,3,25,29,57,0.45,24.33443593978882
notears,80,5,10,0.5,1,n,27,4,22,31,57,0.44,23.34597897529602
notears,80,5,10,0.5,1,n,26,4,24,30,58,0.43,23.413313388824463
notears,80,5,10,0.5,1,n,31,3,20,29,52,0.49,23.40340256690979
notears,80,5,10,0.5,1,n,27,3,23,30,56,0.45,24.031405448913574
notears,80,5,10,0.5,1,n,24,4,24,32,60,0.4,23.21632480621338
notears,80,5,10,0.5,1,n,31,3,22,27,52,0.51,24.2696590423584
notears,100,3,10,0.5,1,n,46,2,25,29,56,0.6,30.10789942741394
notears,100,3,10,0.5,1,n,46,2,25,29,56,0.6,30.368483066558838
notears,100,3,10,0.5,1,n,55,3,23,22,48,0.69,30.704110622406006
notears,100,3,10,0.5,1,n,43,2,24,33,59,0.55,29.22165012359619
notears,100,3,10,0.5,1,n,46,2,23,31,56,0.58,29.68103528022766
notears,100,3,10,0.5,1,n,50,3,22,28,53,0.62,29.6562557220459
notears,100,3,10,0.5,1,n,45,2,25,30,57,0.58,28.85626196861267
notears,100,3,10,0.5,1,n,45,2,27,28,57,0.6,28.98380208015442
notears,100,3,10,0.5,1,n,46,3,24,30,57,0.58,28.87359094619751
notears,100,3,10,0.5,1,n,49,2,22,29,53,0.61,29.6343092918396
notears,100,4,10,0.5,1,n,49,3,21,30,54,0.6,31.56807589530945
notears,100,4,10,0.5,1,n,53,2,20,27,49,0.65,30.823461294174194
notears,100,4,10,0.5,1,n,44,2,23,33,58,0.56,30.887693881988525
notears,100,4,10,0.5,1,n,49,2,21,30,53,0.6,30.961181640625
notears,100,4,10,0.5,1,n,47,2,22,31,55,0.59,31.16025400161743
notears,100,4,10,0.5,1,n,49,3,21,30,54,0.6,31.225585460662842
notears,100,4,10,0.5,1,n,48,3,20,32,55,0.58,29.631941318511963
notears,100,4,10,0.5,1,n,51,3,21,28,52,0.62,29.292057991027832
notears,100,4,10,0.5,1,n,50,3,23,27,53,0.62,29.62223768234253
notears,100,4,10,0.5,1,n,45,3,25,30,58,0.58,29.966705799102783
notears,100,5,10,0.5,1,n,52,2,24,24,50,0.67,29.5229971408844
notears,100,5,10,0.5,1,n,46,2,27,27,56,0.61,29.091893672943115
notears,100,5,10,0.5,1,n,50,2,23,27,52,0.63,29.90693712234497
notears,100,5,10,0.5,1,n,46,2,25,29,56,0.6,29.866055011749268
notears,100,5,10,0.5,1,n,44,2,26,30,58,0.58,29.80081844329834
notears,100,5,10,0.5,1,n,45,2,22,33,57,0.56,30.16231632232666
notears,100,5,10,0.5,1,n,48,3,26,26,55,0.62,29.375427961349487
notears,100,5,10,0.5,1,n,39,2,31,30,63,0.55,30.06666898727417
notears,100,5,10,0.5,1,n,40,2,26,34,62,0.53,29.468711137771606
notears,100,5,10,0.5,1,n,50,2,23,27,52,0.63,29.857457160949707
notears,200,3,10,0.5,1,aS,139,6,37,24,67,0.82,65.70149254798889
notears,200,3,10,0.5,1,aS,122,5,51,27,83,0.79,63.647079944610596
notears,200,3,10,0.5,1,aS,120,8,49,31,88,0.75,62.69886255264282
notears,200,3,10,0.5,1,aS,119,7,49,32,88,0.75,63.45216703414917
notears,200,3,10,0.5,1,aS,124,6,46,30,82,0.78,64.35808372497559
notears,200,3,10,0.5,1,aS,132,5,42,26,73,0.81,63.416348934173584
notears,200,3,10,0.5,1,aS,137,3,36,27,66,0.82,62.68571424484253
notears,200,3,10,0.5,1,aS,131,5,41,28,74,0.8,62.98414373397827
notears,200,3,10,0.5,1,aS,123,6,47,30,83,0.77,62.70219111442566
notears,200,3,10,0.5,1,aS,116,7,54,30,91,0.76,76.85549354553223
notears,200,4,10,0.5,1,aS,120,4,48,32,84,0.77,69.65280532836914
notears,200,4,10,0.5,1,aS,137,2,38,25,65,0.84,72.97611403465271
notears,200,4,10,0.5,1,aS,132,2,40,28,70,0.81,71.96384477615356
notears,200,4,10,0.5,1,aS,134,2,37,29,68,0.81,72.52491521835327
notears,200,4,10,0.5,1,aS,119,3,48,33,84,0.77,77.1672933101654
notears,200,4,10,0.5,1,aS,142,2,39,19,60,0.87,69.70945048332214
notears,200,4,10,0.5,1,aS,129,3,42,29,74,0.8,75.47319650650024
notears,200,4,10,0.5,1,aS,113,1,51,36,88,0.75,73.88999772071838
notears,200,4,10,0.5,1,aS,128,1,45,27,73,0.82,71.77133369445801
notears,200,4,10,0.5,1,aS,129,1,45,26,72,0.83,72.27616119384766
notears,200,5,10,0.5,1,aS,103,4,56,41,101,0.7,69.9156904220581
notears,200,5,10,0.5,1,aS,125,4,45,30,79,0.79,72.32209825515747
notears,200,5,10,0.5,1,aS,132,4,38,30,72,0.8,73.71681332588196
notears,200,5,10,0.5,1,aS,114,3,49,37,89,0.74,71.21846342086792
notears,200,5,10,0.5,1,aS,107,5,55,38,98,0.71,72.24826645851135
notears,200,5,10,0.5,1,aS,117,6,49,34,89,0.75,70.37315773963928
notears,200,5,10,0.5,1,aS,121,3,47,32,82,0.78,74.99416828155518
notears,200,5,10,0.5,1,aS,111,5,53,36,94,0.73,73.46053838729858
notears,200,5,10,0.5,1,aS,121,4,48,31,83,0.78,72.32629680633545
notears,200,5,10,0.5,1,aS,116,5,49,35,89,0.74,71.09747338294983
notears,300,3,10,0.5,1,aS,197,6,70,33,109,0.83,135.17601990699768
notears,300,3,10,0.5,1,aS,179,5,78,43,126,0.79,134.01589798927307
notears,300,3,10,0.5,1,aS,183,5,77,40,122,0.8,138.99605870246887
notears,300,3,10,0.5,1,aS,188,7,74,38,119,0.81,134.11866426467896
notears,300,3,10,0.5,1,aS,181,8,79,40,127,0.79,137.14870262145996
notears,300,3,10,0.5,1,aS,184,7,79,37,123,0.81,137.78380417823792
notears,300,3,10,0.5,1,aS,169,7,83,48,138,0.75,133.66842699050903
notears,300,3,10,0.5,1,aS,175,7,82,43,132,0.78,132.4044280052185
notears,300,3,10,0.5,1,aS,176,5,78,46,129,0.78,138.90874886512756
notears,300,3,10,0.5,1,aS,178,6,81,41,128,0.79,129.87727975845337
notears,300,4,10,0.5,1,aS,178,2,76,46,124,0.79,132.91699314117432
